Event Data Level Sequence In Catalog,Unq Users level start,Event Data Unq Users Level Started (Before X Days),Unq Users level complete,Event Data Unq Users Level Completed (Before X Days),Unq Users level fail,Event Data # Level Start Events,Event Data # Level Fail Events,Event Data # Level Complete Events,# Level Steps,Avg Stacks Placed to Complete,Unq Users Level complete (1st attempt),Unq Users Level complete (2nd attempt),Unq Users Level complete (3+ attempt),Unq Users level step,Avg Stacks Placed to Fail,Avg goal complete % - Lvl Fail,# Rv Slot Unlock,# powerup used,unq users used rv slot,Coin Sink,# Level Pre Fail Events,Payers,Total Customer,Median Coin Balance,Coin Balance Below 20,Booster Balance 0,Total Level Revenue,Total Level RV Revenue,Total Level Ad Revenue,IAP Revenue,Funnel %,Level Churn %,Level Fail %,Fail / User,Absolute Level Fail % (Unique),Retry Ratio,Lvl complete % (1st Attempt),Lvl complete % (2nd Attempt),Lvl complete % (3+ Attempt),Unique Level Fail %,Avg Play on used,Avg Powerup Used,Rv Slot % (unique),Level Pre Fail %,Total Revenue / User,Total RV Revenue / User,Total Ad Revenue / User,IAP Revenue / User,ARPPU
615,"58,395","53,279","57,072","52,049","16,458","106,462","40,079","59,179","433,902",120.2,"39,342","8,474","9,633","50,758",62.7,59.3,"32,667","112,285","18,959","711,675","52,792",85,"5,448",59,"10,265","27,124","$2,191.71",$735.26,"$1,508.76",$760.03,6.7%,2.3%,37.6%,0.7,86.9%,1.9,67.4%,14.5%,16.5%,28.2%,7.43,1.05,32.5%,49.6%,$0.04,$0.01,$0.03,$0.01,$0.40
616,"58,517","53,386","56,611","51,608","21,711","159,089","87,358","58,762","665,594",121.2,"34,154","8,263","14,666","52,421",51.1,42.3,"42,937","164,302","20,982","1,004,550","112,824",163,"5,537",54,"11,772","27,855","$3,431.32","$1,070.22","$2,201.93","$1,341.17",6.6%,3.3%,54.9%,1.5,89.6%,2.8,58.4%,14.1%,25.1%,37.1%,11.37,1.03,35.9%,70.9%,$0.06,$0.02,$0.04,$0.02,$0.62
617,"57,919","52,807","56,505","51,453","16,586","117,788","49,402","58,560","475,927",115.1,"38,439","7,796","10,632","51,012",73.3,40.9,"37,046","119,565","20,696","734,360","63,590",128,"5,382",54,"11,877","27,866","$3,018.71",$945.64,"$1,900.19",$831.62,6.6%,2.6%,41.9%,0.9,88.1%,2.1,66.4%,13.5%,18.4%,28.6%,8.22,1.02,35.7%,54.0%,$0.05,$0.02,$0.03,$0.01,$0.56
618,"58,001","52,821","56,561","51,487","18,970","117,325","49,982","58,649","463,656",122.4,"36,281","8,530","12,163","51,717",39.7,44.5,"33,944","115,732","17,871","743,960","64,475",96,"5,498",54,"11,544","27,973","$2,801.77",$881.22,"$1,734.34",$709.97,6.6%,2.5%,42.6%,0.9,89.2%,2.1,62.6%,14.7%,21.0%,32.7%,7.99,0.99,30.8%,55.0%,$0.05,$0.02,$0.03,$0.01,$0.51
619,"56,211","51,197","55,293","50,319","12,304","84,096","22,543","57,153","282,545",72.9,"41,501","7,826","6,196","46,810",41.9,60.3,"23,234","68,085","15,910","447,490","29,160",50,"5,331",59,"10,121","26,196","$2,161.15",$684.80,"$1,381.08",$333.50,6.4%,1.7%,26.8%,0.4,83.3%,1.5,73.8%,13.9%,11.0%,21.9%,5.03,0.81,28.3%,34.7%,$0.04,$0.01,$0.02,$0.01,$0.41
620,"58,070","52,919","56,685","51,575","19,234","119,513","52,938","58,849","431,290",62.3,"36,496","8,854","11,815","50,550",38.2,51.0,"34,601","113,117","17,354","673,975","68,131",92,"5,445",58,"10,445","26,796","$2,061.52",$770.11,"$1,567.29",$796.94,6.6%,2.5%,44.3%,0.9,87.1%,2.1,62.8%,15.2%,20.3%,33.1%,7.43,0.95,29.9%,57.0%,$0.04,$0.01,$0.03,$0.01,$0.38
621,"57,788","52,610","56,767","51,658","15,667","94,970","31,390","58,937","310,553",57.1,"40,083","8,740","8,338","48,261",31.7,47.8,"23,638","79,180","14,844","533,040","41,329",55,"5,436",61,"9,949","26,435","$2,085.46",$695.36,"$1,321.45",$364.36,6.6%,1.8%,33.1%,0.5,83.5%,1.7,69.4%,15.1%,14.4%,27.1%,5.37,0.83,25.7%,43.5%,$0.04,$0.01,$0.02,$0.01,$0.38
622,"56,569","51,561","54,611","49,692","20,549","173,179","102,591","56,553","667,946",83.2,"33,552","7,313","14,122","49,905",47.5,51.5,"44,044","165,664","18,938","989,915","129,758",176,"5,286",55,"11,430","26,918","$2,953.64",$984.00,"$2,091.06","$1,515.82",6.4%,3.6%,59.2%,1.8,88.2%,3.2,59.3%,12.9%,25.0%,36.3%,11.81,0.96,33.5%,74.9%,$0.05,$0.02,$0.04,$0.03,$0.56
623,"57,532","52,431","56,324","51,236","16,300","115,900","49,741","58,404","410,051",89.1,"38,916","7,583","10,184","49,706",40.7,40.4,"32,157","101,088","18,532","627,870","61,420",79,"5,379",56,"11,154","27,382","$2,932.23",$856.25,"$1,635.84",$645.15,6.6%,2.3%,42.9%,0.9,86.4%,2.1,67.6%,13.2%,17.7%,28.3%,7.13,0.87,32.2%,53.0%,$0.05,$0.01,$0.03,$0.01,$0.55
624,"58,577","53,434","56,479","51,365","20,040","165,844","92,750","58,573","614,812",103.6,"35,820","6,750","14,313","52,465",44.0,49.7,"39,810","137,096","20,350","861,660","113,527",129,"5,537",53,"11,946","28,367","$3,095.07",$966.10,"$2,173.40",$980.58,6.6%,3.9%,55.9%,1.6,89.6%,2.9,61.2%,11.5%,24.4%,34.2%,10.50,0.83,34.7%,68.5%,$0.05,$0.02,$0.04,$0.02,$0.56
625,"57,979","52,781","56,452","51,327","20,683","135,804","67,299","58,623","509,640",105.2,"34,621","8,387","13,891","51,872",43.5,25.1,"26,673","115,503","18,300","774,480","84,006",119,"5,507",54,"11,594","28,254","$2,996.64",$889.26,"$1,829.23",$901.57,6.6%,2.8%,49.6%,1.2,89.5%,2.4,59.7%,14.5%,24.0%,35.7%,8.79,0.85,31.6%,61.9%,$0.05,$0.02,$0.03,$0.02,$0.54
626,"58,046","52,804","56,100","50,998","25,152","164,326","94,182","58,088","584,010",82.4,"30,438","8,456","17,680","52,744",29.8,29.3,"38,517","141,168","20,051","932,520","116,829",146,"5,454",49,"12,258","28,705","$3,030.82",$919.16,"$1,934.63","$1,209.42",6.5%,3.4%,57.3%,1.6,90.9%,2.9,52.4%,14.6%,30.5%,43.3%,10.06,0.86,34.5%,71.1%,$0.05,$0.02,$0.03,$0.02,$0.56
627,"57,852","52,743","56,318","51,228","20,354","139,130","69,620","58,431","499,545",87.2,"34,793","8,340","13,578","51,440",43.6,37.5,"30,384","115,716","17,806","765,190","86,155",121,"5,457",50,"12,283","28,936","$3,244.55",$953.69,"$1,886.25",$795.58,6.6%,2.9%,50.0%,1.2,88.9%,2.5,60.1%,14.4%,23.5%,35.2%,8.63,0.83,30.8%,61.9%,$0.06,$0.02,$0.03,$0.01,$0.59
628,"55,939","50,849","54,517","49,551","14,700","104,636","40,772","56,474","429,272",101.5,"38,805","7,620","8,429","47,771",64.1,47.9,"30,733","106,631","17,509","625,930","54,339",90,"5,287",52,"11,265","27,602","$2,368.04",$836.85,"$1,622.28",$752.95,6.4%,2.6%,39.0%,0.7,85.4%,1.9,69.4%,13.6%,15.1%,26.3%,7.67,1.02,31.3%,51.9%,$0.04,$0.01,$0.03,$0.01,$0.45
629,"57,422","52,314","55,563","50,541","23,474","159,172","89,102","57,658","612,011",79.8,"31,383","8,117","16,591","51,992",46.7,54.6,"41,664","154,434","21,542","931,985","113,448",162,"5,414",48,"12,386","28,851","$2,934.00",$972.64,"$2,025.40","$1,204.29",6.5%,3.4%,56.0%,1.6,90.5%,2.9,54.7%,14.1%,28.9%,40.9%,10.66,0.97,37.5%,71.3%,$0.05,$0.02,$0.04,$0.02,$0.54
630,"57,646","52,590","55,716","50,694","22,273","162,282","90,708","57,773","620,986",148.6,"32,691","8,041","15,444","52,741",45.2,43.1,"38,840","139,928","20,541","815,670","112,441",117,"5,417",48,"12,971","29,128","$3,202.83","$1,022.46","$2,036.43",$969.68,6.5%,3.6%,55.9%,1.6,91.5%,2.9,56.7%,13.9%,26.8%,38.6%,10.77,0.86,35.6%,69.3%,$0.06,$0.02,$0.04,$0.02,$0.59
631,"55,461","50,466","54,524","49,594","11,256","80,505","20,064","56,385","266,798",80.5,"41,870","7,546","5,352","45,985",46.0,43.3,"14,561","56,555","10,917","398,120","27,677",57,"5,271",55,"10,747","27,101","$2,321.35",$737.92,"$1,407.44",$405.38,6.4%,1.7%,24.9%,0.4,82.9%,1.5,75.5%,13.6%,9.7%,20.3%,4.81,0.70,19.7%,34.4%,$0.04,$0.01,$0.03,$0.01,$0.44
632,"57,052","51,913","55,773","50,721","17,024","104,420","39,738","57,951","390,773",115.8,"37,520","8,638","10,052","50,026",35.1,21.7,"25,705","93,316","16,226","631,185","50,571",75,"5,393",56,"9,813","27,026","$1,860.15",$545.31,"$1,266.89",$650.22,6.5%,2.3%,38.1%,0.7,87.7%,1.9,65.8%,15.1%,17.6%,29.8%,6.85,0.89,28.4%,48.4%,$0.03,$0.01,$0.02,$0.01,$0.34
633,"58,006","52,918","56,105","51,009","19,012","173,266","100,518","58,220","664,556",130.6,"36,429","6,680","13,419","52,055",40.7,24.6,"44,646","145,850","19,523","747,330","124,007",133,"5,529",54,"11,720","28,080","$3,508.74","$1,204.30","$2,407.20","$1,124.39",6.5%,3.6%,58.0%,1.7,89.7%,3.1,62.8%,11.5%,23.1%,32.8%,11.46,0.84,33.7%,71.6%,$0.06,$0.02,$0.04,$0.02,$0.63
634,"57,593","52,449","56,285","51,229","16,487","110,256","43,588","58,403","414,801",102.2,"38,343","8,234","10,116","50,216",46.9,47.4,"29,617","95,261","18,216","584,000","55,236",83,"5,444",57,"10,718","27,295","$2,631.24",$826.53,"$1,701.46",$658.04,6.6%,2.3%,39.5%,0.8,87.2%,2.0,66.6%,14.3%,17.6%,28.6%,7.20,0.86,31.6%,50.1%,$0.05,$0.01,$0.03,$0.01,$0.48
635,"55,818","50,757","54,950","49,939","13,218","87,616","26,727","56,857","271,738",59.7,"40,598","7,519","7,099","46,339",36.1,50.1,"24,590","68,474","16,350","451,775","33,812",40,"5,304",61,"9,278","25,384","$1,911.55",$625.53,"$1,294.46",$385.58,6.4%,1.6%,30.5%,0.5,83.0%,1.6,72.7%,13.5%,12.7%,23.7%,4.87,0.78,29.3%,38.6%,$0.03,$0.01,$0.02,$0.01,$0.36
636,"57,374","52,281","56,163","51,128","17,484","107,800","42,782","58,328","385,082",89.1,"37,613","8,372","10,598","49,994",34.9,33.1,"31,643","103,384","19,274","694,060","53,608",55,"5,422",59,"9,691","26,052","$1,949.97",$636.14,"$1,297.67",$412.41,6.5%,2.2%,39.7%,0.7,87.1%,1.9,65.6%,14.6%,18.5%,30.5%,6.71,0.96,33.6%,49.7%,$0.03,$0.01,$0.02,$0.01,$0.36
637,"49,895","46,074","49,253","45,458","7,988","66,011","13,347","49,962","205,982",77.8,"40,096","5,758","3,484","40,035",43.3,37.2,"15,341","42,403","11,081","273,270","17,280",29,"4,679",66,"7,663","22,030","$1,469.81",$548.79,"$1,064.32",$193.67,5.7%,1.3%,20.2%,0.3,80.2%,1.3,80.4%,11.5%,7.0%,16.0%,4.13,0.64,22.2%,26.2%,$0.03,$0.01,$0.02,$0.00,$0.31
638,"57,605","52,501","56,337","51,244","19,904","114,193","48,444","58,495","406,169",86.1,"35,246","9,320","12,210","50,959",30.1,22.8,"33,643","97,818","17,960","626,080","59,067",76,"5,460",67,"8,654","24,854","$1,703.97",$553.63,"$1,315.58",$550.24,6.6%,2.4%,42.4%,0.8,88.5%,2.0,61.2%,16.2%,21.2%,34.6%,7.05,0.86,31.2%,51.7%,$0.03,$0.01,$0.02,$0.01,$0.31
639,"57,863","52,674","56,336","51,227","19,936","127,967","60,465","58,489","471,520",99.7,"35,343","8,286","13,144","51,641",35.5,35.7,"37,070","123,862","21,916","832,410","74,585",94,"5,458",62,"9,747","25,502","$2,364.74",$797.62,"$1,690.52",$766.06,6.6%,2.7%,47.3%,1.0,89.2%,2.3,61.1%,14.3%,22.7%,34.5%,8.15,0.97,37.9%,58.3%,$0.04,$0.01,$0.03,$0.01,$0.43
640,"57,636","52,458","56,275","51,135","19,369","121,556","54,990","58,351","447,035",73.3,"35,712","8,265","12,705","50,342",41.4,64.3,"35,639","121,887","18,194","772,470","70,248",99,"5,471",61,"10,898","26,646","$2,615.26",$921.08,"$1,771.48",$772.96,6.6%,2.5%,45.2%,1.0,87.3%,2.2,62.0%,14.3%,22.0%,33.6%,7.76,1.00,31.6%,57.8%,$0.05,$0.02,$0.03,$0.01,$0.48
641,"55,852","50,707","54,754","49,707","13,970","92,261","30,278","56,670","326,906",79.0,"39,609","7,697","7,734","46,979",47.3,54.6,"25,679","85,860","15,929","579,830","39,741",57,"5,293",63,"10,184","25,658","$2,043.69",$699.48,"$1,339.60",$565.39,6.4%,2.0%,32.8%,0.5,84.1%,1.7,70.9%,13.8%,13.8%,25.0%,5.85,0.93,28.5%,43.1%,$0.04,$0.01,$0.02,$0.01,$0.39
642,"57,075","51,863","56,065","50,917","14,972","92,147","29,053","58,237","309,371",66.7,"39,858","8,845","7,746","47,976",34.6,25.5,"25,533","76,494","15,868","520,080","37,675",49,"5,345",65,"9,710","25,941","$1,810.30",$613.65,"$1,226.04",$411.47,6.5%,1.8%,31.5%,0.5,84.1%,1.6,69.8%,15.5%,13.6%,26.2%,5.42,0.83,27.8%,40.9%,$0.03,$0.01,$0.02,$0.01,$0.34
643,"57,841","52,687","56,216","51,106","21,051","155,017","85,630","58,340","557,557",71.6,"34,564","7,748","14,392","51,162",36.3,19.6,"40,947","133,614","19,465","796,025","106,276",128,"5,504",61,"10,780","26,733","$2,678.22",$912.58,"$1,913.29",$912.54,6.6%,3.0%,55.2%,1.5,88.5%,2.8,59.8%,13.4%,24.9%,36.4%,9.64,0.86,33.7%,68.6%,$0.05,$0.02,$0.03,$0.02,$0.49
644,"57,425","52,221","56,397","51,225","15,805","99,817","35,539","58,592","339,116",69.8,"39,373","8,625","8,803","48,473",36.7,53.0,"22,181","82,229","12,189","565,575","45,664",69,"5,410",63,"10,069","26,506","$2,212.39",$739.66,"$1,432.59",$559.29,6.6%,1.9%,35.6%,0.6,84.4%,1.8,68.6%,15.0%,15.3%,27.5%,5.91,0.82,21.2%,45.7%,$0.04,$0.01,$0.02,$0.01,$0.41
645,"55,974","50,882","54,673","49,675","15,256","109,406","44,821","56,609","420,562",117.8,"38,093","7,350","9,513","48,452",64.2,67.5,"19,909","103,628","14,044","778,065","58,468",99,"5,345",60,"9,987","25,545","$2,121.42",$610.03,"$1,427.30",$732.95,6.4%,2.4%,41.0%,0.8,86.6%,2.0,68.1%,13.1%,17.0%,27.3%,7.51,0.95,25.1%,53.4%,$0.04,$0.01,$0.03,$0.01,$0.40
646,"55,640","50,457","54,196","49,096","16,534","127,427","61,820","56,129","459,967",79.2,"36,887","6,969","10,724","47,465",48.5,55.5,"20,437","97,131","10,850","694,870","80,026",101,"5,313",60,"10,367","26,151","$2,583.15",$724.51,"$1,622.44",$758.92,6.3%,2.7%,48.5%,1.1,85.3%,2.4,66.3%,12.5%,19.3%,29.7%,8.27,0.76,19.5%,62.8%,$0.05,$0.01,$0.03,$0.01,$0.49
647,"56,488","51,435","55,583","50,589","10,620","82,734","20,310","57,798","322,695",123.3,"43,458","6,934","5,478","48,064",61.9,50.4,"25,291","77,919","16,502","525,545","27,078",54,"5,353",63,"9,333","26,023","$1,949.44",$532.26,"$1,138.50",$569.34,6.5%,1.6%,24.5%,0.4,85.1%,1.5,76.9%,12.3%,9.7%,18.8%,5.71,0.94,29.2%,32.7%,$0.03,$0.01,$0.02,$0.01,$0.36
648,"56,819","51,666","55,195","50,131","20,704","139,781","71,535","57,347","531,021",84.1,"33,618","7,695","14,331","50,690",45.0,40.4,"42,135","146,730","21,509","946,010","90,178",116,"5,411",57,"10,555","26,510","$2,689.08",$846.36,"$1,850.09",$704.76,6.4%,3.0%,51.2%,1.3,89.2%,2.5,59.2%,13.5%,25.2%,36.4%,9.35,1.05,37.9%,64.5%,$0.05,$0.01,$0.03,$0.01,$0.50
649,"54,682","49,654","53,560","48,604","14,643","95,825","34,232","55,425","361,242",104.7,"37,773","8,151","7,981","46,513",55.1,40.8,"18,241","79,802","11,901","550,140","45,894",75,"5,273",61,"10,194","25,877","$2,178.15",$796.83,"$1,474.34",$697.22,6.2%,2.1%,35.7%,0.6,85.1%,1.8,69.1%,14.9%,14.6%,26.8%,6.61,0.83,21.8%,47.9%,$0.04,$0.01,$0.03,$0.01,$0.41
650,"56,257","51,225","55,115","50,159","13,861","100,701","37,273","57,233","364,009",96.4,"40,026","7,045","8,398","48,349",44.8,39.7,"29,574","87,134","18,187","557,350","46,909",58,"5,455",63,"9,660","26,049","$2,156.30",$623.42,"$1,348.20",$449.41,6.4%,2.1%,37.0%,0.7,85.9%,1.8,71.1%,12.5%,14.9%,24.6%,6.47,0.87,32.3%,46.6%,$0.04,$0.01,$0.02,$0.01,$0.40
651,"54,713","49,660","53,085","48,270","17,172","129,440","64,511","55,040","502,411",126.5,"35,094","7,429","10,930","48,690",34.8,4.4,"35,978","124,217","18,457","764,980","81,343",100,"5,344",61,"10,084","25,314","$2,315.21",$797.68,"$1,637.19",$683.95,6.2%,2.8%,49.8%,1.2,89.0%,2.4,64.1%,13.6%,20.0%,31.4%,9.18,0.96,33.7%,62.8%,$0.04,$0.01,$0.03,$0.01,$0.43
652,"54,297","49,461","53,015","48,272","16,247","106,668","44,670","54,939","408,990",111.4,"35,641","7,704","10,020","47,692",40.4,43.0,"27,664","104,223","16,469","728,045","57,319",89,"5,239",60,"9,826","25,145","$2,186.04",$764.43,"$1,577.02",$850.07,6.2%,2.4%,41.9%,0.8,87.8%,2.0,65.6%,14.2%,18.5%,29.9%,7.53,0.98,30.3%,53.7%,$0.04,$0.01,$0.03,$0.02,$0.42
653,"50,260","46,555","48,862","45,136","13,861","127,029","68,195","49,778","400,362",86.4,"34,714","3,705","10,671","41,502",23.1,18.7,"21,629","83,101","10,820","560,595","81,467",103,"4,770",58,"9,705","23,405","$2,572.35",$772.27,"$1,626.41",$814.89,5.7%,3.0%,53.7%,1.4,82.6%,2.6,69.1%,7.4%,21.2%,27.6%,7.97,0.65,21.5%,64.1%,$0.05,$0.02,$0.03,$0.02,$0.54
654,"51,054","47,272","49,422","45,654","19,084","148,191","85,852","50,369","521,125",77.3,"29,641","6,571","13,429","45,243",35.0,27.0,"38,095","124,275","17,946","733,725","102,582",129,"4,823",56,"9,645","23,775","$2,544.26",$799.50,"$1,769.40","$1,032.53",5.8%,3.4%,57.9%,1.7,88.6%,3.0,58.1%,12.9%,26.3%,37.4%,10.21,0.84,35.2%,69.2%,$0.05,$0.02,$0.03,$0.02,$0.53
655,"54,706","49,702","53,572","48,663","13,753","96,023","34,979","55,566","335,253",67.7,"38,946","7,217","7,732","45,737",44.3,48.6,"26,160","91,132","16,143","644,310","44,835",69,"5,241",59,"9,930","25,533","$2,402.64",$763.32,"$1,442.01",$502.29,6.2%,2.1%,36.4%,0.6,83.6%,1.8,71.2%,13.2%,14.1%,25.1%,6.13,0.95,29.5%,46.7%,$0.04,$0.01,$0.03,$0.01,$0.46
656,"56,501","51,530","55,017","50,075","18,984","137,704","70,411","57,229","515,059",109.9,"35,222","7,250","12,965","50,431",41.2,28.3,"44,551","137,388","23,827","859,970","86,515",126,"5,414",54,"10,913","26,784","$2,222.48",$811.95,"$1,666.35",$992.57,6.4%,2.8%,51.1%,1.2,89.3%,2.5,62.3%,12.8%,22.9%,33.6%,9.12,1.00,42.2%,62.8%,$0.04,$0.01,$0.03,$0.02,$0.41
657,"56,101","51,101","55,068","50,175","13,252","88,719","26,789","57,150","288,733",64.7,"40,721","7,549","7,106","46,598",34.5,43.9,"21,699","67,643","14,364","447,060","33,816",43,"5,409",60,"10,389","26,521","$2,474.74",$785.22,"$1,436.08",$328.55,6.4%,1.8%,30.2%,0.5,83.1%,1.6,72.6%,13.5%,12.7%,23.6%,5.15,0.76,25.6%,38.1%,$0.04,$0.01,$0.03,$0.01,$0.46
658,"56,169","51,230","54,974","50,151","16,225","102,372","38,758","57,156","395,794",105.1,"37,572","8,299","9,537","48,913",47.9,49.9,"27,601","101,618","16,553","697,765","51,240",91,"5,411",59,"10,008","26,042","$1,817.24",$628.22,"$1,325.01",$738.99,6.4%,2.1%,37.9%,0.7,87.1%,1.9,66.9%,14.8%,17.0%,28.9%,7.05,0.99,29.5%,50.1%,$0.03,$0.01,$0.02,$0.01,$0.34
659,"56,050","51,146","54,373","49,587","18,496","132,842","66,102","56,505","531,939",105.4,"34,996","7,818","11,982","49,388",55.1,29.6,"39,521","137,416","20,076","862,395","84,416",110,"5,369",56,"10,687","26,400","$2,457.76",$837.81,"$1,770.84",$860.78,6.3%,3.0%,49.8%,1.2,88.1%,2.4,62.4%,13.9%,21.4%,33.0%,9.49,1.03,35.8%,63.5%,$0.04,$0.01,$0.03,$0.02,$0.46
660,"58,139","53,200","55,267","50,253","21,782","266,520","184,081","57,406","1,004,091",104.6,"33,794","6,329","15,555","52,090",57.5,34.3,"78,582","214,372","25,036","1,049,465","220,489",219,"5,664",50,"13,839","29,002","$5,271.36","$1,883.09","$3,914.43","$1,730.16",6.4%,5.5%,69.1%,3.2,89.6%,4.8,58.1%,10.9%,26.8%,37.5%,17.27,0.80,43.1%,82.7%,$0.09,$0.03,$0.07,$0.03,$0.93
661,"49,908","44,802","49,065","44,050","9,186","77,247","23,491","49,924","247,796",63.5,"39,172","4,406","5,640","37,875",44.1,40.9,"11,436","51,619","6,867","375,060","30,602",35,"4,751",55,"10,035","24,269","$2,752.04",$841.11,"$1,452.10",$297.63,5.7%,1.7%,30.4%,0.5,75.9%,1.6,78.5%,8.8%,11.3%,18.4%,4.97,0.67,13.8%,39.6%,$0.06,$0.02,$0.03,$0.01,$0.58
662,"49,897","44,808","49,021","43,949","13,984","87,004","32,648","49,848","278,405",58.5,"34,051","7,037","8,073","42,045",37.9,53.1,"23,972","71,840","15,655","475,130","40,927",58,"4,733",57,"8,542","23,212","$1,423.84",$365.17,$952.45,$553.37,5.7%,1.9%,37.5%,0.7,84.3%,1.8,68.2%,14.1%,16.2%,28.0%,5.58,0.83,31.4%,47.0%,$0.03,$0.01,$0.02,$0.01,$0.30
663,"55,835","50,762","54,467","49,449","18,254","113,555","49,143","56,527","420,440",110.5,"35,042","8,308","11,530","49,585",37.2,31.9,"32,300","109,610","18,968","740,700","61,933",90,"5,420",56,"9,713","25,952","$2,021.96",$677.91,"$1,372.75",$635.00,6.3%,2.6%,43.3%,0.9,88.8%,2.1,62.8%,14.9%,20.7%,32.7%,7.53,0.97,34.0%,54.5%,$0.04,$0.01,$0.02,$0.01,$0.37
664,"50,046","46,206","49,167","45,375","9,330","73,421","18,730","50,092","288,636",129.0,"38,242","6,140","4,934","42,211",62.3,33.5,"20,003","62,661","12,026","396,090","25,097",60,"4,758",61,"8,544","23,174","$1,747.48",$599.69,"$1,213.32",$479.37,5.7%,1.8%,25.5%,0.4,84.3%,1.5,76.4%,12.3%,9.9%,18.6%,5.77,0.85,24.0%,34.2%,$0.03,$0.01,$0.02,$0.01,$0.37
665,"56,049","51,012","54,708","49,777","15,843","103,694","39,288","56,914","422,415",130.6,"37,496","8,055","9,566","49,436",56.0,37.7,"26,980","106,385","15,851","737,085","51,159",83,"5,377",61,"9,457","25,438","$2,133.66",$639.66,"$1,449.51",$678.09,6.4%,2.4%,37.9%,0.7,88.2%,1.9,66.9%,14.4%,17.1%,28.3%,7.54,1.03,28.3%,49.3%,$0.04,$0.01,$0.03,$0.01,$0.40
666,"55,598","50,653","54,407","49,521","15,938","103,579","40,635","56,454","379,515",78.8,"37,266","7,677","9,823","48,032",40.8,35.9,"32,113","106,157","19,669","718,230","51,193",93,"5,375",60,"9,747","25,337","$2,293.82",$723.18,"$1,514.85",$722.95,6.3%,2.2%,39.2%,0.7,86.4%,1.9,67.0%,13.8%,17.7%,28.7%,6.83,1.02,35.4%,49.4%,$0.04,$0.01,$0.03,$0.01,$0.43
667,"56,915","51,908","54,943","49,966","18,732","167,160","97,939","57,219","568,276",95.6,"35,899","6,353","13,109","50,246",31.4,25.2,"36,156","127,465","18,046","820,210","115,102",155,"5,544",58,"11,077","26,772","$3,092.29",$917.09,"$1,966.98","$1,157.23",6.4%,3.7%,58.6%,1.7,88.3%,3.0,63.1%,11.2%,23.0%,32.9%,9.98,0.76,31.7%,68.9%,$0.05,$0.02,$0.03,$0.02,$0.56
668,"56,251","51,171","55,031","49,986","18,550","111,754","47,656","57,125","381,340",76.9,"35,475","8,543","11,428","49,032",29.7,19.9,"25,367","89,008","15,500","615,500","60,255",78,"5,376",61,"10,299","26,289","$2,421.97",$764.80,"$1,554.40",$677.19,6.4%,2.3%,42.6%,0.8,87.2%,2.0,63.1%,15.2%,20.3%,33.0%,6.78,0.80,27.6%,53.9%,$0.04,$0.01,$0.03,$0.01,$0.45
669,"56,262","51,157","54,953","49,923","17,808","108,603","44,919","57,040","387,148",91.2,"36,118","8,356","10,922","48,973",35.9,34.8,"27,917","98,210","16,694","686,545","56,895",73,"5,455",60,"10,154","25,894","$1,969.48",$650.45,"$1,374.33",$510.20,6.4%,2.4%,41.4%,0.8,87.0%,2.0,64.2%,14.9%,19.4%,31.7%,6.88,0.90,29.7%,52.4%,$0.04,$0.01,$0.02,$0.01,$0.36
670,"56,272","51,192","55,089","50,084","15,437","100,492","37,050","57,189","355,701",94.5,"38,472","7,768","9,197","48,539",34.0,19.7,"28,287","85,848","17,750","562,080","45,863",65,"5,469",62,"9,984","25,889","$2,119.93",$632.54,"$1,329.92",$619.31,6.4%,2.2%,36.9%,0.7,86.3%,1.8,68.4%,13.8%,16.3%,27.4%,6.32,0.85,31.5%,45.6%,$0.04,$0.01,$0.02,$0.01,$0.39
671,"54,577","49,541","53,693","48,707","9,353","74,417","15,027","55,630","266,300",117.5,"42,910","6,938","4,064","45,495",49.3,25.6,"14,621","55,682","10,169","419,560","20,555",47,"5,283",68,"8,578","24,360","$1,893.08",$555.33,"$1,139.78",$337.48,6.3%,1.7%,20.2%,0.3,83.4%,1.4,78.6%,12.7%,7.4%,17.1%,4.88,0.75,18.6%,27.6%,$0.03,$0.01,$0.02,$0.01,$0.36
672,"56,324","51,236","54,032","49,094","25,518","185,695","114,960","56,153","702,672",81.9,"28,312","7,908","18,336","51,554",40.1,31.6,"44,056","169,524","18,867","1,083,455","143,242",160,"5,490",59,"10,657","25,960","$3,040.83",$852.56,"$2,072.27","$1,299.13",6.3%,4.2%,61.9%,2.0,91.5%,3.4,50.3%,14.0%,32.6%,45.3%,12.48,0.91,33.5%,77.1%,$0.05,$0.02,$0.04,$0.02,$0.55
673,"49,885","46,100","48,885","45,126","11,496","85,471","29,742","49,767","339,143",123.5,"36,057","6,228","6,780","42,414",71.3,57.7,"24,821","83,758","14,499","506,155","38,313",73,"4,758",61,"9,257","23,047","$2,685.37",$758.85,"$1,407.85",$638.22,5.7%,2.1%,34.8%,0.6,85.0%,1.7,72.3%,12.5%,13.6%,23.0%,6.80,0.98,29.1%,44.8%,$0.05,$0.02,$0.03,$0.01,$0.56
674,"56,806","51,790","54,943","49,976","20,796","160,684","90,074","57,036","626,164",111.9,"33,612","7,781","14,043","50,813",47.4,36.9,"45,825","142,523","21,119","789,550","113,125",142,"5,525",59,"11,214","26,693","$3,211.45","$1,073.64","$2,200.74","$1,334.41",6.4%,3.5%,56.1%,1.6,89.5%,2.9,59.2%,13.7%,24.7%,36.6%,11.02,0.89,37.2%,70.4%,$0.06,$0.02,$0.04,$0.02,$0.58
